"ACL00","GEO","UNIT","AGE","SEX","TIME","FREQUENC","Value","Flag and Footnotes"
"Cinema","Ireland","Percentage","From 20 to 29 years","Total","2006","From 7 to 12 times","14.4","u"
"Cinema","Ireland","Percentage","From 20 to 29 years","Total","2006","More than 12 times","22.4","u"
"Cinema","Ireland","Percentage","From 25 to 29 years","Total","2006","Never","23.8","u"
"Cinema","Ireland","Percentage","From 25 to 29 years","Total","2006","From 1 to 3 times","28.7","u"
"Cinema","Ireland","Percentage","From 25 to 29 years","Total","2006","From 4 to 6 times","18.9","u"
"Cinema","Ireland","Percentage","From 25 to 29 years","Total","2006","From 7 to 12 times","13.2","u"
"Cinema","Ireland","Percentage","From 25 to 29 years","Total","2006","More than 12 times","15.5","u"
"Cinema","Greece","Percentage","From 16 to 19 years","Total","2006","Never","20",""
"Cinema","Greece","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","33.5",""
"Cinema","Greece","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","26.5",""
"Cinema","Greece","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","12.3",""
"Cinema","Greece","Percentage","From 16 to 19 years","Total","2006","More than 12 times","7.6",""
"Cinema","Greece","Percentage","From 16 to 24 years","Total","2006","Never","21.9",""
"Cinema","Greece","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","31.3",""
"Cinema","Greece","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","25.3",""
"Cinema","Greece","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","12.9",""
"Cinema","Greece","Percentage","From 16 to 24 years","Total","2006","More than 12 times","8.6",""
"Cinema","Greece","Percentage","From 16 to 29 years","Total","2006","Never","25.9",""
"Cinema","Greece","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","31.7",""
"Cinema","Greece","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","22.5",""
"Cinema","Greece","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","12",""
"Cinema","Greece","Percentage","From 16 to 29 years","Total","2006","More than 12 times","8",""
"Cinema","Greece","Percentage","From 20 to 24 years","Total","2006","Never","23.2",""
"Cinema","Greece","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","29.8",""
"Cinema","Greece","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","24.4",""
"Cinema","Greece","Percentage","From 20 to 24 years","Total","2006","From 7 to 12 times","13.3",""
"Cinema","Greece","Percentage","From 20 to 24 years","Total","2006","More than 12 times","9.2",""
"Cinema","Greece","Percentage","From 20 to 29 years","Total","2006","Never","27.7",""
"Cinema","Greece","Percentage","From 20 to 29 years","Total","2006","From 1 to 3 times","31.1",""
"Cinema","Greece","Percentage","From 20 to 29 years","Total","2006","From 4 to 6 times","21.2",""
"Cinema","Greece","Percentage","From 20 to 29 years","Total","2006","From 7 to 12 times","11.9",""
"Cinema","Greece","Percentage","From 20 to 29 years","Total","2006","More than 12 times","8.1",""
"Cinema","Greece","Percentage","From 25 to 29 years","Total","2006","Never","31.5",""
"Cinema","Greece","Percentage","From 25 to 29 years","Total","2006","From 1 to 3 times","32.1",""
"Cinema","Greece","Percentage","From 25 to 29 years","Total","2006","From 4 to 6 times","18.5",""
"Cinema","Greece","Percentage","From 25 to 29 years","Total","2006","From 7 to 12 times","10.7",""
"Cinema","Greece","Percentage","From 25 to 29 years","Total","2006","More than 12 times","7.1",""
"Cinema","Spain","Percentage","From 16 to 19 years","Total","2006","Never","15.1",""
"Cinema","Spain","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","25.5",""
"Cinema","Spain","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","20.2",""
"Cinema","Spain","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","18.1",""
"Cinema","Spain","Percentage","From 16 to 19 years","Total","2006","More than 12 times","21",""
"Cinema","Spain","Percentage","From 16 to 24 years","Total","2006","Never","13.8",""
"Cinema","Spain","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","23.7",""
"Cinema","Spain","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","20.5",""
"Cinema","Spain","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","17.8",""
"Cinema","Spain","Percentage","From 16 to 24 years","Total","2006","More than 12 times","24.2",""
"Cinema","Spain","Percentage","From 16 to 29 years","Total","2006","Never","18.3",""
"Cinema","Spain","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","24.6",""
